kpi_name,target_kpi_column,kpi_category,threshold_%,degraded_cells_count,max_degradation_%,status,error
DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,34,96.68495295864682,Completed,
UL Traffic,(HU) UL Traffic Volume (GBytes),Traffic,30.0,35,93.81815189871958,Completed,
DL Throughput,(HU) User DL Average Throughput (Mbps),Integrity,20.0,28,51.477349501625625,Completed,
UL Throughput,(HU) User UL Average Throughput (Mbps),Integrity,20.0,34,75.70429424029828,Completed,
RRC Setup SR,(TE) RRC Setup SR%,Accessibility,5.0,0,1.3298200953387826,Completed,
ERAB Setup SR,ERAB Setup Success Rate,Accessibility,5.0,0,1.6941099706792198,Completed,
Drop Rate,E-RAB Drop Rate (E-NodeB + MME) %,Retainability,20.0,24,6078.738000231321,Completed,
HO Success Rate,HO SR% Overall,Mobility,5.0,0,14.46857594386524,Completed,
Availability,Availability,Availability,1.0,0,5.015087555178885,Completed,
RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,17,68.48192981927522,Completed,
CSFB KPI,CSFB SR%,CSFB / Voice Accessibility,5.0,0,0.8771500000000003,Completed,
VoLTE KPIs,BA_Voice E2E VQI,VoLTE,5.0,5,9.707278811615176,Completed,
RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,10,100.0,Completed,
